title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
State of Emergency    ,PS2,1.76,0.86,0.67,N/A,0.22
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures    ,GBA,1.76,1.26,0.47,N/A,0.03
Kinect Star Wars    ,X360,1.76,1.05,0.53,0.03,0.15
The Urbz: Sims in the City    ,PS2,1.76,0.52,0.95,N/A,0.29
Star Wars: Starfighter    ,PS2,1.76,0.61,0.87,0.02,0.26
Madden NFL 2000    ,PS,1.75,1.68,0.04,N/A,0.04
Just Cause 2    ,PS3,1.75,0.45,0.92,0.06,0.32
Star Wars Battlefront    ,XB,1.75,1.24,0.45,N/A,0.07
Pro Evolution Soccer    ,PS2,1.75,0.06,0.90,0.53,0.27
Kingdom Hearts HD I.5 + II.5 ReMIX    ,PS4,1.75,0.75,0.51,0.23,0.26
Disney's Aladdin    ,SNES,1.75,0.94,0.34,0.21,0.27
Kirby's Adventure    ,NES,1.75,0.79,0.14,0.80,0.02
Yoshi    ,NES,1.75,0.70,0.13,0.91,0.01
For Honor    ,PS4,1.75,0.73,0.66,0.07,0.28
FIFA Soccer 08    ,PS3,1.75,0.35,1.07,0.02,0.31
Crackdown    ,X360,1.75,1.00,0.53,0.03,0.18
Dance Dance Revolution X    ,PS2,1.75,0.85,0.66,0.01,0.22
2 Games in 1: Disney Princess & The Lion King    ,GBA,1.75,1.25,0.46,N/A,0.03
Mortal Kombat X    ,XOne,1.74,1.34,0.23,N/A,0.18
Star Wars Episode I: The Phantom Menace    ,PS,1.74,0.72,0.89,0.04,0.10
Xenosaga Episode I: Der Wille zur Macht    ,PS2,1.74,0.63,0.49,0.45,0.17
NBA 2K15    ,XOne,1.74,1.39,0.18,N/A,0.18
The Witcher 3: Wild Hunt    ,XOne,1.74,0.97,0.61,0.01,0.15
NBA 2K19    ,XOne,1.74,1.47,0.08,N/A,0.18
Cruis'n USA    ,N64,1.74,1.69,0.04,N/A,0.01
Madden NFL 99    ,PS,1.74,1.66,0.04,N/A,0.04
LEGO City Undercover: The Chase Begins    ,3DS,1.74,0.54,0.99,0.08,0.12
Shadow of the Tomb Raider    ,PS4,1.74,0.59,0.82,0.06,0.27
SSX Tricky    ,PS2,1.73,0.85,0.66,N/A,0.22
Dragon Quest VI: Realms of Revelation    ,DS,1.73,0.20,0.15,1.35,0.03
Sonic Colors    ,Wii,1.73,0.95,0.61,0.01,0.16
Twisted Metal III     ,PS,1.73,1.48,0.20,N/A,0.05
Harry Potter and the Sorcerer's Stone    ,GB,1.73,0.94,0.62,0.10,0.07
Crash Bandicoot: The Huge Adventure    ,GBA,1.73,0.95,0.70,N/A,0.08
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City    ,PS2,1.72,0.85,0.66,N/A,0.22
Dishonored    ,X360,1.72,1.06,0.50,0.01,0.15
Call of Duty: World at War Final Fronts    ,PS2,1.72,0.61,0.18,N/A,0.94
Hot Shots Golf Fore!    ,PS2,1.72,0.27,0.11,1.34,N/A
Titanfall 2    ,PS4,1.72,0.75,0.62,0.06,0.28
Game Party 3    ,Wii,1.72,1.43,0.16,N/A,0.13
Madden NFL 2005    ,XB,1.72,1.61,0.03,N/A,0.08
Deal or No Deal    ,DS,1.72,1.16,0.40,N/A,0.16
Star Ocean: Till The End of Time    ,PS2,1.72,0.80,0.21,0.55,0.15
Injustice 2    ,PS4,1.72,0.88,0.54,N/A,0.29
The Beatles: Rock Band    ,Wii,1.71,1.17,0.39,N/A,0.15
Toy Story 2: Buzz Lightyear to the Rescue!    ,PS,1.71,0.99,0.64,N/A,0.08
Imagine: Teacher    ,DS,1.71,0.70,0.83,N/A,0.19
Donkey Kong Country: Tropical Freeze    ,WiiU,1.71,0.74,0.68,0.16,0.13
Call of Duty: Modern Warfare 3    ,PC,1.71,0.41,0.99,N/A,0.31
Ace Combat 5: The Unsung War    ,PS2,1.71,0.88,0.34,0.32,0.18
Need for Speed Underground    ,XB,1.71,1.09,0.55,N/A,0.07
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS    ,DS,1.71,N/A,N/A,1.71,N/A
Tetris Worlds    ,GBA,1.71,1.25,0.39,N/A,0.06
Call of Duty Black Ops: Declassified    ,PSV,1.71,0.74,0.52,0.07,0.38
Portal 2    ,PS3,1.71,0.83,0.62,0.02,0.24
Pokken Tournament DX    ,NS,1.71,0.79,0.47,0.32,0.12
NieR: Automata    ,PS4,1.71,0.56,0.51,0.42,0.22
FIFA Soccer 10    ,PS2,1.70,0.23,0.24,0.00,1.23
Beyond: Two Souls    ,PS3,1.70,0.52,0.86,0.06,0.26
Hitman: Absolution    ,X360,1.70,0.68,0.88,0.01,0.13
Super Puyo Puyo    ,SNES,1.70,N/A,N/A,1.69,0.01
Tekken 7    ,PS4,1.70,0.60,0.72,0.12,0.26
NCAA Football 07    ,PS2,1.70,1.41,0.05,N/A,0.23
Ben 10: Protector of Earth    ,DS,1.70,0.68,0.82,N/A,0.19
Sid Meier's Civilization V    ,PC,1.70,1.00,0.53,N/A,0.17
Cabela's Big Game Hunter 2010    ,Wii,1.70,1.58,N/A,N/A,0.12
SOCOM 3: U.S. Navy SEALs    ,PS2,1.69,1.22,0.34,0.04,0.10
Saints Row IV    ,X360,1.69,1.01,0.51,0.01,0.15
Donkey Kong Country: Tropical Freeze    ,NS,1.69,0.71,0.61,0.26,0.12
Jampack Winter '99    ,PS,1.69,0.94,0.64,N/A,0.11
Cooking Mama 3: Shop & Chop    ,DS,1.69,0.79,0.66,0.08,0.17
Need for Speed: Undercover    ,X360,1.69,0.80,0.70,0.01,0.18
WCW vs. nWo: World Tour    ,N64,1.69,1.37,0.28,0.03,0.02
WCW/NWO Thunder    ,PS,1.69,1.10,0.48,0.04,0.07
Harry Potter and the Sorcerer's Stone    ,GBA,1.69,0.87,0.66,0.08,0.08
Personal Trainer: Math    ,DS,1.69,0.48,1.12,N/A,0.08
Dragon Ball Z: The Legacy of Goku    ,GBA,1.69,1.52,0.12,N/A,0.05
The Sims 3: Late Night Expansion Pack    ,PC,1.69,0.59,0.88,N/A,0.22
Resident Evil 4    ,GC,1.69,0.98,0.42,0.22,0.06
LEGO Batman 2: DC Super Heroes    ,X360,1.69,0.90,0.64,N/A,0.15
Far Cry 4    ,XOne,1.68,0.85,0.68,0.02,0.14
Saints Row 2    ,PS3,1.68,0.88,0.54,0.02,0.24
World Championship Poker: Featuring Howard Lederer - All In    ,PS2,1.68,0.82,0.64,N/A,0.22
NFL GameDay 98    ,PS,1.68,1.58,0.06,N/A,0.04
Yoshi's Cookie    ,GB,1.68,0.59,0.24,0.82,0.03
Star Wars Battlefront: Renegade Squadron    ,PSP,1.68,0.90,0.47,N/A,0.32
Time Crisis    ,PS,1.68,0.38,0.87,0.33,0.10
We Ski    ,Wii,1.68,0.97,0.41,0.14,0.15
The Sims: Superstar    ,PC,1.68,1.67,0.00,N/A,N/A
Monster Hunter Double Cross    ,3DS,1.68,N/A,N/A,1.68,N/A
Metroid Fusion    ,GBA,1.68,1.18,0.27,0.17,0.06
SSX 3    ,PS2,1.67,0.93,0.52,N/A,0.22
Madden NFL 2001    ,PS,1.67,1.58,0.05,N/A,0.04
Dragon Age: Origins    ,PS3,1.67,0.96,0.42,0.08,0.21
Star Wars Battlefront II    ,XB,1.67,1.22,0.39,N/A,0.06
Disney's DuckTales    ,NES,1.67,0.91,0.30,0.42,0.04
"Monsters, Inc.    ",GBA,1.67,0.59,0.95,0.03,0.10
Tony Hawk's Pro Skater 3    ,PS,1.67,1.09,0.49,0.02,0.07
StarCraft II: Heart of the Swarm    ,PC,1.67,0.85,0.68,N/A,0.14
PGR: Project Gotham Racing 2    ,XB,1.67,0.97,0.59,0.04,0.07
Destiny    ,PS3,1.67,0.69,0.59,0.13,0.26
Fight Night Round 3    ,PS3,1.67,0.81,0.58,0.01,0.26
Spy Hunter    ,PS2,1.67,1.13,0.32,N/A,0.22
NCAA Football 2004    ,PS2,1.67,1.35,0.09,N/A,0.23
SpongeBob SquarePants: Battle for Bikini Bottom    ,PS2,1.67,1.08,0.45,N/A,0.14
Big Beach Sports    ,Wii,1.66,0.45,1.02,N/A,0.20
Disney Infinity    ,Wii,1.66,1.06,0.44,N/A,0.16
Street Fighter II': Special Champion Edition    ,GEN,1.66,1.00,0.30,0.31,0.04
Shaun White Snowboarding: Road Trip    ,Wii,1.66,0.93,0.56,N/A,0.16
SSX    ,PS2,1.66,0.78,0.61,0.06,0.20
NBA Ballers    ,PS2,1.66,0.81,0.63,N/A,0.21
Kirby's Return to Dreamland    ,Wii,1.66,0.58,0.21,0.79,0.07
NBA Live 2003    ,PS2,1.66,1.25,0.15,0.03,0.22
NBA 2K15    ,X360,1.66,1.37,0.11,N/A,0.17
Dragon Ball Z: Budokai Tenkaichi    ,PS2,1.66,0.96,0.12,0.54,0.04
Yoshi's New Island    ,3DS,1.66,0.51,0.74,0.29,0.11
Ms. Pac-Man    ,2600,1.65,1.54,0.10,N/A,0.02
Star Wars The Clone Wars: Lightsaber Duels    ,Wii,1.65,1.21,0.30,N/A,0.14
Mario Party 6    ,GC,1.65,0.90,0.11,0.60,0.05
Super Scope 6    ,SNES,1.65,1.06,0.38,0.15,0.05
Heavenly Sword    ,PS3,1.65,0.57,0.73,0.06,0.29
MySims    ,Wii,1.65,0.90,0.54,0.04,0.17
Need for Speed Carbon    ,X360,1.65,0.76,0.69,0.02,0.18
Dragon Quest V: Tenkuu no Hanayome     ,PS2,1.65,N/A,N/A,1.65,N/A
Watch Dogs    ,XOne,1.64,0.91,0.59,N/A,0.15
Persona 5    ,PS4,1.64,0.62,0.34,0.48,0.20
Kirby & the Amazing Mirror    ,GBA,1.64,0.80,0.05,0.76,0.03
Army of Two    ,X360,1.64,1.09,0.37,0.02,0.16
Dig Dug    ,2600,1.64,1.52,0.10,N/A,0.02
Ghosts 'n Goblins    ,NES,1.64,0.74,0.26,0.61,0.03
Tom Clancy's Rainbow Six    ,PS,1.64,0.93,0.63,N/A,0.08
Tiger Woods PGA Tour 2003    ,PS2,1.64,0.80,0.63,N/A,0.21
NBA Live 06 (All region sales)    ,PS2,1.64,1.44,0.15,N/A,0.05
Prince of Persia: Warrior Within    ,PS2,1.64,0.54,0.88,N/A,0.22
ESPN NFL 2K5    ,XB,1.63,1.54,0.02,N/A,0.07
Pikmin    ,GC,1.63,0.78,0.25,0.56,0.04
Max Payne 3    ,X360,1.63,0.86,0.62,0.01,0.13
Dead Rising 3    ,XOne,1.63,1.06,0.40,0.01,0.15
Tiger Woods PGA Tour 2004    ,PS2,1.63,1.18,0.34,N/A,0.10
Ape Escape    ,PS,1.63,0.71,0.48,0.32,0.11
NCAA Football 2005    ,PS2,1.62,1.32,0.09,N/A,0.22
Kinectimals    ,X360,1.62,1.02,0.46,0.00,0.14
Viva Pinata    ,X360,1.62,0.45,0.95,0.02,0.20
Uncharted: Golden Abyss    ,PSV,1.62,0.53,0.71,0.13,0.25
Tony Hawk's American Wasteland (Old all region sales)    ,PS2,1.62,0.80,0.63,0.01,0.19
Call of Duty: Black Ops    ,PC,1.62,0.58,0.82,N/A,0.23
The Order: 1886    ,PS4,1.62,0.44,0.86,0.07,0.25
Kirby Air Ride    ,GC,1.62,1.01,0.11,0.45,0.04
Rock Band    ,PS3,1.62,0.99,0.41,N/A,0.22
Sled Storm    ,PS,1.62,0.90,0.61,N/A,0.11
Dragon Quest IV: Chapters of the Chosen    ,DS,1.62,0.30,0.02,1.27,0.03
NFL Street 2    ,PS2,1.61,0.79,0.62,N/A,0.21
Baseball    ,GB,1.61,0.66,0.27,0.65,0.03
Yu-Gi-Oh! Duel Monsters    ,GB,1.61,N/A,N/A,1.61,0.01
Super Mario Strikers    ,GC,1.61,0.98,0.38,0.20,0.04
Buzz! The Music Quiz    ,PS2,1.61,N/A,1.18,N/A,0.43
SpongeBob's Atlantis SquarePantis    ,DS,1.61,1.49,0.00,N/A,0.11
Tom Clancy's Ghost Recon Wildlands    ,XOne,1.61,0.98,0.48,N/A,0.15
Mario Hoops 3 on 3    ,DS,1.61,0.98,0.04,0.49,0.09
Dragon Quest VII: Fragments of the Forgotten Past    ,3DS,1.61,0.13,0.13,1.31,0.02
Wolfenstein: The New Order    ,PS4,1.61,0.48,0.84,0.03,0.25
Rage    ,X360,1.60,0.82,0.60,0.03,0.15
Gears of War: Judgment    ,X360,1.60,0.92,0.51,0.03,0.14
Madden NFL 15    ,XOne,1.60,1.34,0.10,N/A,0.17
Midnight Club 3: DUB Edition (America/Others Sales)    ,PS2,1.60,1.30,0.23,N/A,0.07
F-1 World Grand Prix    ,N64,1.60,0.46,0.96,0.09,0.08
River Raid    ,2600,1.60,1.49,0.09,N/A,0.02
Just Cause 2    ,X360,1.60,0.59,0.83,0.02,0.17
Silent Hill    ,PS,1.60,0.71,0.48,0.30,0.10
Kingdom Hearts 3D: Dream Drop Distance    ,3DS,1.60,0.88,0.27,0.34,0.10
Sonic Heroes    ,GC,1.60,1.05,0.44,0.06,0.04
ESPN NBA 2K5    ,PS2,1.59,1.26,0.12,N/A,0.21
Sonic Generations    ,PS3,1.59,0.60,0.72,0.02,0.25
LEGO Harry Potter: Years 1-4    ,X360,1.59,0.95,0.50,N/A,0.14
Diablo    ,PC,1.59,0.01,1.58,N/A,N/A
The Legend of Zelda: Twilight Princess    ,GC,1.59,1.15,0.36,0.04,0.04
Far Cry 2    ,X360,1.59,0.72,0.69,0.02,0.18
Soul Blade    ,PS,1.59,0.61,0.41,0.46,0.10
Mario Bros.    ,2600,1.59,1.48,0.09,N/A,0.02
Pokémon Battle Revolution    ,Wii,1.59,0.78,0.37,0.30,0.13
Pro Evolution Soccer 2008    ,PS3,1.59,0.04,1.10,0.32,0.13
FIFA 16    ,X360,1.59,0.59,0.88,N/A,0.12
NASCAR 2000    ,PS,1.59,0.88,0.60,N/A,0.10
Dance Dance Revolution: Hottest Party 2    ,Wii,1.58,0.94,0.48,0.01,0.15
Final Fantasy XIV Online    ,PC,1.58,0.93,0.48,N/A,0.16
SoulCalibur IV    ,X360,1.58,0.92,0.43,0.07,0.15
Jampack Summer 2K    ,PS,1.58,0.88,0.60,N/A,0.10
Rise of the Tomb Raider    ,XOne,1.58,0.61,0.82,0.03,0.12
Devil May Cry 4    ,PS3,1.58,0.58,0.45,0.34,0.20
Spyro 2: Season of Flame    ,GBA,1.58,0.85,0.65,N/A,0.08
Batman: Arkham Knight    ,XOne,1.58,0.97,0.46,N/A,0.14
Detroit: Become Human    ,PS4,1.57,0.55,0.67,0.12,0.24
LEGO Pirates of the Caribbean: The Video Game    ,Wii,1.57,0.73,0.69,N/A,0.15
Pro Evolution Soccer 2010    ,PS2,1.57,0.10,0.18,0.12,1.16
NCAA Football 2002    ,PS2,1.57,0.77,0.60,N/A,0.20
Guitar Hero: On Tour Decades    ,DS,1.57,0.84,0.57,N/A,0.16
Moshi Monsters: Moshling Zoo    ,DS,1.57,0.38,0.98,N/A,0.21
Dragon Quest V: Hand of the Heavenly Bride    ,DS,1.57,0.17,0.02,1.36,0.02
Conflict: Desert Storm    ,PS2,1.57,0.98,0.53,N/A,0.06
Mario Party 7    ,GC,1.57,0.95,0.11,0.46,0.04
High School Musical 3: Senior Year    ,DS,1.57,0.63,0.76,N/A,0.18
Carnival Games: Mini Golf    ,Wii,1.56,0.86,0.55,N/A,0.15
Smuggler's Run    ,PS2,1.56,0.77,0.60,N/A,0.20
Fight Night Round 3    ,PS2,1.56,1.07,0.40,N/A,0.10
Mortal Kombat    ,PS3,1.56,1.06,0.31,N/A,0.19
Donkey Kong Classics    ,NES,1.56,0.59,0.14,0.81,0.02
Hannah Montana: Music Jam    ,DS,1.56,1.05,0.36,N/A,0.15
Pokémon Mystery Dungeon: Explorers of Sky    ,DS,1.56,0.57,0.43,0.44,0.12
Twisted Metal    ,PS,1.56,1.32,0.19,N/A,0.05
Final Fight    ,SNES,1.56,0.67,0.17,0.69,0.03
MySims Kingdom    ,DS,1.56,0.80,0.59,0.01,0.16
Mafia II    ,X360,1.56,0.85,0.55,N/A,0.15
Dragon Quest Monsters 2: Cobi's Journey    ,GB,1.56,N/A,N/A,1.56,0.00
Pokémon Pinball: Ruby & Sapphire (Old all region sales)    ,GBA,1.56,0.68,0.38,0.44,0.05
Stuntman    ,PS2,1.55,0.76,0.59,N/A,0.20
Tom Clancy's Rainbow Six 3    ,XB,1.55,0.91,0.57,N/A,0.07
BioShock 2    ,PS3,1.55,0.85,0.46,0.02,0.22
Dishonored    ,PS3,1.55,0.72,0.54,0.04,0.26
Guitar Hero 5    ,Wii,1.55,0.92,0.48,N/A,0.15
007: The World is Not Enough    ,N64,1.55,1.13,0.38,0.02,0.03
Spider-Man 2: Enter: Electro    ,PS,1.55,0.57,0.87,0.02,0.09
Battlefield V    ,XOne,1.55,1.05,0.35,N/A,0.15
Command & Conquer: Tiberian Sun    ,PC,1.55,1.55,0.00,N/A,N/A
Naruto Shippuden: Ultimate Ninja Storm 4    ,PS4,1.54,0.71,0.47,0.12,0.24
Need for Speed: Most Wanted (2012)    ,X360,1.54,0.62,0.79,0.01,0.12
Ni no Kuni: Wrath of the White Witch    ,PS3,1.54,0.60,0.51,0.21,0.22
Go Vacation    ,Wii,1.54,0.42,0.66,0.33,0.13
NBA 2K14    ,PS4,1.54,0.91,0.35,0.01,0.27
Active Life: Outdoor Challenge    ,Wii,1.54,0.78,0.43,0.19,0.14
Dark Cloud    ,PS2,1.54,0.83,0.44,0.08,0.19
Warcraft III: The Frozen Throne    ,PC,1.54,0.58,0.87,N/A,0.09
Tom Clancy's Ghost Recon Advanced Warfighter    ,X360,1.54,1.40,0.02,0.02,0.10
MVP Baseball 2005    ,PS2,1.54,1.26,0.07,N/A,0.21
Die Hard Trilogy    ,PS,1.54,0.85,0.58,N/A,0.10
Mortal Kombat 3    ,SNES,1.53,1.19,0.29,N/A,0.05
NFL GameDay 99    ,PS,1.53,1.44,0.05,N/A,0.04
Disney Infinity    ,X360,1.53,1.04,0.35,N/A,0.15
Yokai Watch 3: Sushi / Tempura / Sukiyaki    ,3DS,1.53,N/A,0.03,1.50,0.00
Mario Golf: Toadstool Tour    ,GC,1.53,1.09,0.15,0.25,0.04
Tiger Woods 99 PGA Tour Golf    ,PS,1.53,0.85,0.58,N/A,0.10
Resident Evil: The Umbrella Chronicles    ,Wii,1.52,0.67,0.43,0.29,0.14
Knockout Kings    ,PS,1.52,1.07,0.39,N/A,0.06
The Simpsons Skateboarding    ,PS2,1.52,0.36,0.90,N/A,0.27
Disney Fairies: Tinker Bell    ,DS,1.52,0.85,0.51,0.01,0.15
Fight Night Round 4    ,PS3,1.52,0.92,0.40,N/A,0.20
Pro Evolution Soccer 2013    ,PS3,1.52,0.18,0.65,0.49,0.20
NASCAR 98    ,PS,1.52,1.43,0.05,N/A,0.04
F1 Race    ,NES,1.52,N/A,N/A,1.52,0.00
Xevious    ,NES,1.52,0.18,0.06,1.27,0.01
NASCAR 99    ,PS,1.52,1.45,0.04,N/A,0.04
Forza Motorsport 7    ,XOne,1.52,0.58,0.81,0.01,0.12
NBA Live 2000    ,PS,1.52,1.43,0.05,N/A,0.03
Super Monkey Ball 2    ,GC,1.52,1.11,0.31,0.06,0.04
Sonic Rivals 2    ,PSP,1.52,0.44,0.70,N/A,0.37
Dead Space 2    ,X360,1.52,0.94,0.44,N/A,0.13
Puzzle & Dragons    ,3DS,1.52,N/A,N/A,1.52,N/A
MySims Kingdom    ,Wii,1.52,0.70,0.64,0.01,0.16
Yoshi's Woolly World    ,WiiU,1.52,0.74,0.53,0.12,0.12
Pac-Man World 2    ,PS2,1.51,1.26,0.05,N/A,0.21
Call of Duty: Black Ops II    ,PC,1.51,0.66,0.70,N/A,0.15
Call of Duty: Modern Warfare: Reflex Edition    ,Wii,1.51,0.94,0.43,N/A,0.14
Tomb Raider: Definitive Edition    ,PS4,1.51,0.47,0.74,0.06,0.23
Call of Duty 3    ,PS3,1.51,0.60,0.63,0.03,0.26
Star Wars: The Force Unleashed II    ,PS3,1.51,0.80,0.50,N/A,0.21
Mega Man 2    ,NES,1.51,0.93,0.15,0.42,0.01
Simpsons Wrestling    ,PS,1.51,0.23,1.16,N/A,0.11
The Simpsons Game    ,DS,1.51,0.56,0.78,N/A,0.17
Turok: Dinosaur Hunter    ,N64,1.51,1.14,0.32,0.05,N/A
NBA Live 98    ,PS,1.51,1.41,0.06,N/A,0.04
The Simpsons Game    ,PS2,1.51,0.35,0.03,N/A,1.13
Madden NFL 19     ,XOne,1.51,1.33,0.02,N/A,0.16
Monopoly    ,PS,1.51,1.18,0.27,N/A,0.05
SoulCalibur II    ,GC,1.50,0.99,0.32,0.11,0.08
Tokyo Xtreme Racer Zero    ,PS2,1.50,0.66,0.52,0.15,0.17
Dragon Ball: Xenoverse 2    ,PS4,1.50,0.54,0.59,0.14,0.23
Metal Gear Rising: Revengeance    ,PS3,1.50,0.47,0.41,0.44,0.18
NFL Blitz    ,PS,1.50,1.41,0.05,N/A,0.04
Red Faction II    ,PS2,1.50,0.49,0.78,N/A,0.23
Rayman Legends    ,PS4,1.50,0.22,1.05,N/A,0.23
Madden NFL 2001    ,PS2,1.50,1.19,0.07,0.05,0.20
Ice Climber    ,NES,1.50,0.46,0.10,0.92,0.02
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki    ,NES,1.50,N/A,N/A,1.50,0.00
Sonic CD    ,SCD,1.50,1.00,0.36,0.09,0.05
WWF No Mercy    ,N64,1.50,1.20,0.27,0.02,0.02
Rock Band 2    ,PS3,1.50,1.13,0.20,N/A,0.16
Football Manager 2012    ,PC,1.50,0.02,1.16,N/A,0.32
Pac-Man World    ,PS,1.50,1.21,0.14,0.10,0.04
Mass Effect: Andromeda    ,PS4,1.49,0.58,0.67,N/A,0.25
Mafia II    ,PS3,1.49,0.50,0.70,0.04,0.25
Dead Rising 2    ,X360,1.49,0.75,0.53,0.09,0.13
Final Fantasy: Crystal Chronicles    ,GC,1.49,0.72,0.38,0.36,0.04
Medal of Honor: Frontline    ,XB,1.49,1.00,0.43,N/A,0.06
Madden NFL 15    ,PS3,1.49,1.11,0.11,N/A,0.28
Madden NFL 09    ,PS2,1.49,1.22,0.00,N/A,0.27
Resistance 3    ,PS3,1.49,0.64,0.57,0.05,0.22
Banjo-Tooie    ,N64,1.49,0.82,0.36,0.25,0.06
Buzz! The BIG Quiz    ,PS2,1.49,N/A,1.10,N/A,0.39
Tom Clancy's Ghost Recon: Future Soldier    ,X360,1.48,0.94,0.40,0.02,0.13
LEGO Star Wars III: The Clone Wars    ,X360,1.48,0.84,0.51,N/A,0.13
Bratz: Forever Diamondz    ,DS,1.48,0.43,0.88,N/A,0.18
Dirge of Cerberus: Final Fantasy VII    ,PS2,1.48,0.47,0.37,0.52,0.12
Drawn To Life: SpongeBob SquarePants Edition    ,DS,1.48,0.99,0.35,N/A,0.14
Sonic's Ultimate Genesis Collection    ,X360,1.48,0.90,0.44,N/A,0.14
LEGO Battles: Ninjago    ,DS,1.48,1.03,0.33,N/A,0.12
Nintendo World Cup    ,NES,1.48,0.28,0.50,0.65,0.05
Wario Land II    ,GB,1.48,0.70,0.35,0.39,0.04
WWF WrestleMania 2000    ,N64,1.48,1.20,0.25,0.02,0.02
Disney Sing It: Pop Hits    ,Wii,1.48,1.07,0.28,N/A,0.12
007: Quantum of Solace    ,X360,1.48,0.82,0.51,0.01,0.14
Major League Baseball 2K5    ,PS2,1.48,0.72,0.56,N/A,0.19
Fight Night 2004    ,PS2,1.48,1.08,0.20,N/A,0.20
Assassin's Creed III: Liberation    ,PSV,1.48,0.53,0.57,0.06,0.32
Tom Clancy's Splinter Cell: Pandora Tomorrow    ,XB,1.48,0.82,0.59,N/A,0.07
Imagine: Master Chef    ,DS,1.47,0.39,0.91,N/A,0.17
Super Scribblenauts    ,DS,1.47,1.06,0.30,N/A,0.11
Disney Princess    ,GBA,1.47,1.04,0.37,N/A,0.06
Mario Golf     ,N64,1.47,0.62,0.18,0.65,0.02
Minecraft    ,WiiU,1.47,0.50,0.49,0.38,0.09
Dying Light    ,XOne,1.47,1.01,0.31,0.01,0.14
Fight Night Round 3    ,X360,1.47,1.33,0.03,0.01,0.10
SoulCalibur IV    ,PS3,1.47,0.72,0.40,0.14,0.20
Ryse: Son of Rome    ,XOne,1.47,0.84,0.49,0.00,0.13
Xenogears    ,PS,1.46,0.29,0.19,0.89,0.10
The SpongeBob SquarePants Movie    ,GBA,1.46,1.02,0.38,N/A,0.06
Forza Horizon 2    ,XOne,1.46,0.56,0.79,0.01,0.11
New Play Control! Mario Power Tennis    ,Wii,1.46,0.35,0.69,0.28,0.14
Midway Arcade Treasures    ,PS2,1.46,0.72,0.56,N/A,0.19
Triple Play 99    ,PS,1.46,0.81,0.55,N/A,0.10
Super Monkey Ball    ,GC,1.46,0.95,0.37,0.10,0.04
Wall-E    ,DS,1.46,0.46,0.82,0.00,0.17
Donkey Kong    ,2600,1.46,1.36,0.08,N/A,0.02
Resident Evil 4    ,Wii,1.46,1.26,0.06,0.14,N/A
Mortal Kombat 4    ,PS,1.46,0.81,0.55,N/A,0.10
The Sims 3    ,Wii,1.46,0.61,0.70,N/A,0.15
Mario Superstar Baseball    ,GC,1.46,0.93,0.24,0.25,0.04
Dragon Ball FighterZ    ,PS4,1.46,0.61,0.51,0.12,0.23
WCW vs the World    ,PS,1.46,1.17,0.20,0.04,0.05
Mass Effect 3    ,PS3,1.46,0.65,0.58,0.03,0.20
Battlefield: Bad Company    ,X360,1.46,0.81,0.46,0.04,0.15
Mass Effect 2    ,PS3,1.46,0.78,0.46,0.03,0.18
Homefront    ,X360,1.46,0.83,0.48,0.02,0.12
Onimusha 3: Demon Siege    ,PS2,1.45,0.37,0.47,0.54,0.07
Red Dead Revolver    ,PS2,1.45,0.71,0.55,N/A,0.19
Resident Evil Outbreak    ,PS2,1.45,0.54,0.35,0.46,0.10
4 Nin uchi Mahjong    ,NES,1.45,N/A,N/A,1.45,0.00
Dragon Ball Z    ,SNES,1.45,N/A,N/A,1.45,0.00
Game de Hakken!! Tamagotchi 2    ,GB,1.45,N/A,N/A,1.44,0.01
Namco Museum 64    ,N64,1.45,1.24,0.17,0.03,0.01
Tamagotchi    ,GB,1.45,N/A,N/A,1.44,0.01
Doom (2016)    ,XOne,1.45,0.76,0.57,N/A,0.13
Sonic & SEGA All-Stars Racing    ,Wii,1.45,0.61,0.69,N/A,0.15
Sega Genesis Collection    ,PSP,1.45,0.53,0.58,N/A,0.34
Tony Hawk's American Wasteland (Weekly american sales)    ,PS2,1.45,1.38,0.05,N/A,0.02
The House of the Dead 2 & 3 Return    ,Wii,1.45,0.77,0.50,0.03,0.15
Assassin's Creed Syndicate    ,XOne,1.44,0.71,0.61,N/A,0.12
BioShock    ,PS3,1.44,0.75,0.48,0.01,0.21
SingStar Pop    ,PS2,1.44,0.04,1.08,N/A,0.32
Kirby Super Star    ,SNES,1.44,0.26,0.07,1.09,0.02
My Word Coach    ,DS,1.44,0.37,0.90,N/A,0.18
Star Wars: The Force Unleashed II    ,X360,1.44,0.95,0.37,N/A,0.12
Sonic Rivals    ,PSP,1.44,0.73,0.43,N/A,0.28
Tiger Woods PGA Tour 2005    ,PS2,1.44,1.03,0.32,N/A,0.09
Disney Princess: Magical Jewels     ,DS,1.44,1.12,0.20,N/A,0.12
NCAA Football 2003    ,PS2,1.44,1.16,0.08,N/A,0.19
Frogger 2: Swampy's Revenge    ,PS,1.43,0.80,0.54,N/A,0.09
WWE SmackDown vs Raw 2008    ,X360,1.43,0.92,0.38,0.00,0.13
Smarty Pants     ,Wii,1.43,0.52,0.75,N/A,0.16
