title,link,platform,release_date,meta_score,user_score,developer,publisher,genre,esrb_rating
Perfect Dark,/game/nintendo-64/perfect-dark,Nintendo 64,22-May-00,97,8.9,Rare Ltd.,Nintendo,"Action, Shooter, First-Person, Sci-Fi",M
Red Dead Redemption 2,/game/playstation-4/red-dead-redemption-2,PlayStation 4,26-Oct-18,97,8.4,Rockstar Games,Rockstar Games,"Action Adventure, Open-World",M
Grand Theft Auto V,/game/playstation-4/grand-theft-auto-v,PlayStation 4,18-Nov-14,97,8.4,Rockstar North,Rockstar Games,"Action Adventure, Modern, Open-World",M
Metroid Prime,/game/gamecube/metroid-prime,GameCube,17-Nov-02,97,9.2,Retro Studios,Nintendo,"Action, Shooter, First-Person, Sci-Fi",T
Grand Theft Auto III,/game/playstation-2/grand-theft-auto-iii,PlayStation 2,22-Oct-01,97,8.4,DMA Design,Rockstar Games,"Action Adventure, Modern",M
Super Mario Odyssey,/game/switch/super-mario-odyssey,Switch,27-Oct-17,97,8.9,Nintendo,Nintendo,"Action, Platformer, 3D",E10+
Halo: Combat Evolved,/game/xbox/halo-combat-evolved,Xbox,14-Nov-01,97,8.5,Bungie Software,Microsoft Game Studios,"Action, Shooter, First-Person, Sci-Fi",M
NFL 2K1,/game/dreamcast/nfl-2k1,Dreamcast,7-Sep-00,97,6.4,Visual Concepts,Sega,"Sports, Traditional, Football, Sim",E
Half-Life 2,/game/pc/half-life-2,PC,16-Nov-04,96,9.1,Valve Software,VU Games,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
Grand Theft Auto V,/game/pc/grand-theft-auto-v,PC,13-Apr-15,96,7.8,Rockstar North,Rockstar Games,"Modern, Action Adventure, Open-World",M
The Legend of Zelda: Breath of the Wild,/game/wii-u/the-legend-of-zelda-breath-of-the-wild,Wii U,3-Mar-17,96,8.2,Nintendo,Nintendo,"Fantasy, Fantasy, Action Adventure, Open-World",E10+
BioShock,/game/xbox-360/bioshock,Xbox 360,21-Aug-07,96,8.9,"Irrational Games, 2K Marin",2K Games,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
GoldenEye 007,/game/nintendo-64/goldeneye-007,Nintendo 64,25-Aug-97,96,9,Rare Ltd.,Nintendo,"Action, Shooter, First-Person, Modern",T
Uncharted 2: Among Thieves,/game/playstation-3/uncharted-2-among-thieves,PlayStation 3,13-Oct-09,96,8.8,Naughty Dog,SCEA,"Action Adventure, Modern, Modern, Linear",T
Resident Evil 4,/game/gamecube/resident-evil-4,GameCube,11-Jan-05,96,9.2,Capcom,Capcom,"Action Adventure, Horror",M
The Orange Box,/game/xbox-360/the-orange-box,Xbox 360,10-Oct-07,96,8.8,Valve Software,EA Games,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi",M
The Orange Box,/game/pc/the-orange-box,PC,10-Oct-07,96,9.2,Valve Software,EA Games,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi",M
Batman: Arkham City,/game/playstation-3/batman-arkham-city,PlayStation 3,18-Oct-11,96,8.8,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action Adventure, Fantasy, Fantasy, Open-World",T
Tekken 3,/game/playstation/tekken-3,PlayStation,29-Apr-98,96,9.1,Namco,Namco,"Action, Fighting, 3D",T
Mass Effect 2,/game/xbox-360/mass-effect-2,Xbox 360,26-Jan-10,96,8.9,BioWare,Electronic Arts,"Role-Playing, Action RPG, Action RPG",M
The Legend of Zelda: Twilight Princess,/game/gamecube/the-legend-of-zelda-twilight-princess,GameCube,11-Dec-06,96,8.9,Nintendo,Nintendo,"Action Adventure, Fantasy",T
The Elder Scrolls V: Skyrim,/game/xbox-360/the-elder-scrolls-v-skyrim,Xbox 360,11-Nov-11,96,8.6,Bethesda Game Studios,Bethesda Softworks,"Role-Playing, First-Person, First-Person, Western-Style",M
Half-Life,/game/pc/half-life,PC,19-Nov-98,96,9,Valve Software,Sierra Entertainment,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
Resident Evil 4,/game/playstation-2/resident-evil-4,PlayStation 2,25-Oct-05,96,9,Capcom,Capcom,"Action Adventure, Horror",M
The Legend of Zelda: The Wind Waker,/game/gamecube/the-legend-of-zelda-the-wind-waker,GameCube,24-Mar-03,96,9,Nintendo,Nintendo,"Action Adventure, Fantasy",E
Gran Turismo,/game/playstation/gran-turismo,PlayStation,30-Apr-98,96,8.7,Polyphony Digital,SCEA,"Driving, Racing, GT / Street",E
BioShock,/game/pc/bioshock,PC,21-Aug-07,96,8.6,"Irrational Games, 2K Marin",2K Games,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
Metal Gear Solid 2: Sons of Liberty,/game/playstation-2/metal-gear-solid-2-sons-of-liberty,PlayStation 2,12-Nov-01,96,8.8,KCEJ,Konami,"Action Adventure, Modern",M
Grand Theft Auto Double Pack,/game/xbox/grand-theft-auto-double-pack,Xbox,31-Oct-03,96,8,Rockstar North,Rockstar Games,"Miscellaneous, Compilation",M
Baldur's Gate II: Shadows of Amn,/game/pc/baldurs-gate-ii-shadows-of-amn,PC,24-Sep-00,95,9.1,BioWare,Interplay,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",T
Grand Theft Auto: San Andreas,/game/playstation-2/grand-theft-auto-san-andreas,PlayStation 2,26-Oct-04,95,9.1,Rockstar North,Rockstar Games,"Action Adventure, Modern",M
Grand Theft Auto: Vice City,/game/playstation-2/grand-theft-auto-vice-city,PlayStation 2,27-Oct-02,95,8.8,Rockstar North,Rockstar Games,"Action Adventure, Modern",M
LittleBigPlanet,/game/playstation-3/littlebigplanet,PlayStation 3,27-Oct-08,95,6.8,"SCE/WWS, Media Molecule",SCEA,"Action, Platformer, Platformer, 3D, 2D, 3D",E
The Legend of Zelda Collector's Edition,/game/gamecube/the-legend-of-zelda-collectors-edition,GameCube,17-Nov-03,95,9,Nintendo,Nintendo,"Action Adventure, Fantasy",E
Red Dead Redemption,/game/playstation-3/red-dead-redemption,PlayStation 3,18-May-10,95,8.9,Rockstar San Diego,Rockstar Games,"Action, Shooter, Third-Person, Historic, Action Adventure, Historic, Historic, Open-World",M
Gran Turismo 3: A-Spec,/game/playstation-2/gran-turismo-3-a-spec,PlayStation 2,9-Jul-01,95,8.4,Polyphony Digital,SCEA,"Driving, Racing, GT / Street",E
Halo 2,/game/xbox/halo-2,Xbox,9-Nov-04,95,8.4,Bungie Software,Microsoft Game Studios,"Action, Shooter, First-Person, Sci-Fi",M
The Legend of Zelda: A Link to the Past,/game/game-boy-advance/the-legend-of-zelda-a-link-to-the-past,Game Boy Advance,3-Dec-02,95,9,Capcom,Nintendo,"Action Adventure, Fantasy",E
The Legend of Zelda: Majora's Mask,/game/nintendo-64/the-legend-of-zelda-majoras-mask,Nintendo 64,25-Oct-00,95,9.2,Nintendo,Nintendo,"Action Adventure, Fantasy",E
The Last of Us,/game/playstation-3/the-last-of-us,PlayStation 3,14-Jun-13,95,9.2,Naughty Dog,SCEA,"Modern, Adventure, General, Action Adventure, General, Modern",M
The Legend of Zelda: Twilight Princess,/game/wii/the-legend-of-zelda-twilight-princess,Wii,19-Nov-06,95,8.9,Nintendo,Nintendo,"Action Adventure, Fantasy, General, Fantasy, Open-World",T
Madden NFL 2003,/game/playstation-2/madden-nfl-2003,PlayStation 2,12-Aug-02,95,7.5,EA Sports,EA Sports,"Sports, Traditional, Football, Sim",E
Tony Hawk's Pro Skater 2,/game/game-boy-advance/tony-hawks-pro-skater-2,Game Boy Advance,30-May-01,95,6.8,Vicarious Visions,Activision,"Sports, Alternative, Skateboarding",E
Persona 5 Royal,/game/playstation-4/persona-5-royal,PlayStation 4,31-Mar-20,95,8.2,Atlus,Atlus,"Role-Playing, Japanese-Style",M
The Last of Us Remastered,/game/playstation-4/the-last-of-us-remastered,PlayStation 4,29-Jul-14,95,9.2,Naughty Dog,SCEA,"Action Adventure, General, Modern",M
Portal 2,/game/pc/portal-2,PC,18-Apr-11,95,9.1,Valve Software,Valve Software,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",E10+
Red Dead Redemption,/game/xbox-360/red-dead-redemption,Xbox 360,18-May-10,95,9,Rockstar San Diego,Rockstar Games,"Action, Action Adventure, Shooter, Historic, Historic, Open-World, Third-Person, Historic",M
Portal 2,/game/xbox-360/portal-2,Xbox 360,19-Apr-11,95,8.7,Valve Software,Valve Software,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",E10+
Metal Gear Solid V: The Phantom Pain,/game/xbox-one/metal-gear-solid-v-the-phantom-pain,Xbox One,1-Sep-15,95,7.4,"Kojima Productions, Moby Dick Studio",Konami,"Modern, Modern, Action Adventure, Open-World",M
Portal 2,/game/playstation-3/portal-2,PlayStation 3,19-Apr-11,95,8.5,Valve Software,Valve Software,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",E10+
World of Goo,/game/wii/world-of-goo,Wii,13-Oct-08,94,8.7,2D Boy,2D Boy,"Miscellaneous, Puzzle, Action, Puzzle, General, Puzzle, General",E
The Elder Scrolls V: Skyrim,/game/pc/the-elder-scrolls-v-skyrim,PC,10-Nov-11,94,8.3,Bethesda Game Studios,Bethesda Softworks,"Role-Playing, First-Person, First-Person, Western-Style",M
BioShock Infinite,/game/playstation-3/bioshock-infinite,PlayStation 3,26-Mar-13,94,8.5,Irrational Games,2K Games,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
Final Fantasy IX,/game/playstation/final-fantasy-ix,PlayStation,13-Nov-00,94,9,SquareSoft,Square EA,"Role-Playing, Console-style RPG",T
Call of Duty: Modern Warfare 2,/game/playstation-3/call-of-duty-modern-warfare-2,PlayStation 3,10-Nov-09,94,6.6,Infinity Ward,Activision,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M
God of War,/game/playstation-4/god-of-war,PlayStation 4,20-Apr-18,94,9.2,SCE Santa Monica,Sony Interactive Entertainment,"Action Adventure, Linear",M
Tony Hawk's Pro Skater 4,/game/playstation-2/tony-hawks-pro-skater-4,PlayStation 2,23-Oct-02,94,8.4,Neversoft Entertainment,Activision,"Sports, Alternative, Skateboarding",T
Devil May Cry,/game/playstation-2/devil-may-cry,PlayStation 2,16-Oct-01,94,8.6,Capcom,Capcom,"Action Adventure, Fantasy",M
Call of Duty 4: Modern Warfare,/game/playstation-3/call-of-duty-4-modern-warfare,PlayStation 3,5-Nov-07,94,8.4,Infinity Ward,Activision,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M
Madden NFL 2002,/game/playstation-2/madden-nfl-2002,PlayStation 2,19-Aug-01,94,7.3,EA Sports,EA Sports,"Sports, Traditional, Football, Sim",E
Batman: Arkham City,/game/xbox-360/batman-arkham-city,Xbox 360,18-Oct-11,94,8.7,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action Adventure, Fantasy, Fantasy, Open-World",T
Mass Effect 2,/game/pc/mass-effect-2,PC,26-Jan-10,94,8.9,BioWare,Electronic Arts,"Role-Playing, Action RPG, Action RPG",M
The Legend of Zelda: Ocarina of Time 3D,/game/3ds/the-legend-of-zelda-ocarina-of-time-3d,3DS,19-Jun-11,94,9,GREZZO,Nintendo,"Miscellaneous, Action Adventure, Fantasy, Fantasy, Compilation, Open-World",E10+
Chrono Cross,/game/playstation/chrono-cross,PlayStation,15-Aug-00,94,8.8,SquareSoft,Square EA,"Role-Playing, Console-style RPG",T
Celeste,/game/xbox-one/celeste,Xbox One,26-Jan-18,94,7.1,Matt Makes Games Inc.,Matt Makes Games Inc.,"Action, Platformer, 2D",E10+
BioShock,/game/playstation-3/bioshock,PlayStation 3,21-Oct-08,94,8.8,"Digital Extremes, 2K Marin",2K Games,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
Mass Effect 2,/game/playstation-3/mass-effect-2,PlayStation 3,17-Jan-11,94,8.6,BioWare,Electronic Arts,"Role-Playing, Action RPG, Action RPG",M
Grand Theft Auto: Vice City,/game/pc/grand-theft-auto-vice-city,PC,12-May-03,94,8.8,Rockstar North,Rockstar Games,"Action Adventure, Modern, Modern, Open-World",M
Madden NFL 2004,/game/playstation-2/madden-nfl-2004,PlayStation 2,12-Aug-03,94,8.2,EA Tiburon,EA Sports,"Sports, Traditional, Football, Sim",E
Gears of War,/game/xbox-360/gears-of-war,Xbox 360,7-Nov-06,94,8.3,Epic Games,Microsoft Game Studios,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",M
The Elder Scrolls IV: Oblivion,/game/xbox-360/the-elder-scrolls-iv-oblivion,Xbox 360,20-Mar-06,94,8.7,Bethesda Softworks,2K Games,"Role-Playing, First-Person, First-Person, Western-Style",M
Sid Meier's Civilization II,/game/pc/sid-meiers-civilization-ii,PC,29-Feb-96,94,8.8,MPS Labs,MicroProse,"Strategy, Turn-Based, Historic, General, Historic, 4X",K-A
Quake,/game/pc/quake,PC,22-Jun-96,94,8.8,id Software,id Software,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
Call of Duty 4: Modern Warfare,/game/xbox-360/call-of-duty-4-modern-warfare,Xbox 360,5-Nov-07,94,8.5,Infinity Ward,Activision,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M
BioShock Infinite,/game/pc/bioshock-infinite,PC,25-Mar-13,94,8.6,Irrational Games,2K Games,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
Halo 3,/game/xbox-360/halo-3,Xbox 360,25-Sep-07,94,8,"Bungie Software, Bungie",Microsoft Game Studios,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
Ninja Gaiden Black,/game/xbox/ninja-gaiden-black,Xbox,20-Sep-05,94,8.8,Team Ninja,Tecmo,"Action Adventure, Fantasy",M
The Elder Scrolls IV: Oblivion,/game/pc/the-elder-scrolls-iv-oblivion,PC,20-Mar-06,94,8.1,Bethesda Softworks,2K Games,"Role-Playing, First-Person, First-Person, Western-Style",M
Street Fighter IV,/game/playstation-3/street-fighter-iv,PlayStation 3,17-Feb-09,94,7.4,Capcom,Capcom,"Action, Fighting, Fighting, 3D, 2D, 3D",T
Super Mario Advance 4: Super Mario Bros. 3,/game/game-boy-advance/super-mario-advance-4-super-mario-bros-3,Game Boy Advance,21-Oct-03,94,8.9,Nintendo,Nintendo,"Action, Platformer, 2D",E
Jet Grind Radio,/game/dreamcast/jet-grind-radio,Dreamcast,30-Oct-00,94,8.1,Smilebit,Sega,"Action, Platformer, 3D",T
Metal Gear Solid,/game/playstation/metal-gear-solid,PlayStation,21-Oct-98,94,9.2,KCEJ,Konami,"Action Adventure, Modern",M
Grim Fandango,/game/pc/grim-fandango,PC,14-Oct-98,94,9.1,LucasArts,LucasArts,"Adventure, General, General, 3D, Third-Person, Fantasy",T
Tom Clancy's Splinter Cell Chaos Theory,/game/xbox/tom-clancys-splinter-cell-chaos-theory,Xbox,28-Mar-05,94,9,Ubisoft Montreal,Ubisoft,"Action Adventure, Modern",M
Burnout 3: Takedown,/game/xbox/burnout-3-takedown,Xbox,7-Sep-04,94,7.7,Criterion Games,EA Games,"Driving, Racing, Arcade",T
Diablo,/game/pc/diablo,PC,31-Dec-96,94,8.7,Blizzard Entertainment,Blizzard Entertainment,"Role-Playing, Action RPG, Action RPG",M
Metal Gear Solid 3: Subsistence,/game/playstation-2/metal-gear-solid-3-subsistence,PlayStation 2,14-Mar-06,94,9,Aspect,Konami,"Action Adventure, Modern",M
Call of Duty: Modern Warfare 2,/game/xbox-360/call-of-duty-modern-warfare-2,Xbox 360,10-Nov-09,94,6.5,Infinity Ward,Activision,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M
Metal Gear Solid 4: Guns of the Patriots,/game/playstation-3/metal-gear-solid-4-guns-of-the-patriots,PlayStation 3,12-Jun-08,94,8.8,Kojima Productions,Konami,"Action Adventure, Modern, General, Modern",M
NCAA Football 2004,/game/playstation-2/ncaa-football-2004,PlayStation 2,16-Jul-03,94,8.3,EA Sports,EA Sports,"Sports, Traditional, Football, Sim",E
God of War,/game/playstation-2/god-of-war,PlayStation 2,22-Mar-05,94,8.9,SCE Santa Monica,SCEA,"Action Adventure, Fantasy",M
Star Wars: Knights of the Old Republic,/game/xbox/star-wars-knights-of-the-old-republic,Xbox,17-Jul-03,94,9.1,BioWare,LucasArts,"Role-Playing, Third-Person",T
Sid Meier's Civilization IV,/game/pc/sid-meiers-civilization-iv,PC,25-Oct-05,94,8.3,Firaxis Games,2K Games,"Strategy, Turn-Based, Historic, Historic, 4X",E10+
Madden NFL 2004,/game/gamecube/madden-nfl-2004,GameCube,12-Aug-03,94,7.1,EA Tiburon,EA Sports,"Sports, Traditional, Football, Sim",E
Virtua Fighter 4,/game/playstation-2/virtua-fighter-4,PlayStation 2,17-Mar-02,94,8.1,Sega AM2,Sega,"Action, Fighting, 3D",T
Super Mario 64,/game/nintendo-64/super-mario-64,Nintendo 64,26-Sep-96,94,9.2,Nintendo,Nintendo,"Action, Platformer, 3D",E
The Witcher 3: Wild Hunt,/game/pc/the-witcher-3-wild-hunt,PC,18-May-15,93,9.4,CD Projekt Red Studio,Warner Bros. Interactive Entertainment,"Action RPG, Role-Playing, Action RPG",M
Burnout 3: Takedown,/game/playstation-2/burnout-3-takedown,PlayStation 2,7-Sep-04,93,9,Criterion Games,EA Games,"Driving, Racing, Arcade",T
Super Smash Bros. Brawl,/game/wii/super-smash-bros-brawl,Wii,9-Mar-08,93,8.8,Game Arts,Nintendo,"Action, Fighting, Fighting, 3D, 2D, 3D",T
Company of Heroes,/game/pc/company-of-heroes,PC,13-Sep-06,93,8.8,Relic,THQ,"Strategy, Real-Time, Historic, General, Historic",M
Gran Turismo 2,/game/playstation/gran-turismo-2,PlayStation,30-Nov-99,93,9,Polyphony Digital,SCEA,"Driving, Racing, GT / Street",T
The Last of Us Part II,/game/playstation-4/the-last-of-us-part-ii,PlayStation 4,19-Jun-20,93,5.7,Naughty Dog,SCEA,"General, Action Adventure, Survival",M
Tom Clancy's Splinter Cell Pandora Tomorrow,/game/xbox/tom-clancys-splinter-cell-pandora-tomorrow,Xbox,23-Mar-04,93,8.6,Ubisoft Shanghai,Ubisoft,"Action Adventure, Modern",T
Grand Theft Auto: Chinatown Wars,/game/ds/grand-theft-auto-chinatown-wars,DS,17-Mar-09,93,8.3,Rockstar Leeds,Rockstar Games,"Action Adventure, Modern, Modern, Open-World",M
Divinity: Original Sin II - Definitive Edition,/game/switch/divinity-original-sin-ii---definitive-edition,Switch,4-Sep-19,93,8.6,"Larian Studios Games, BlitWorks, The Dragon Commanders",Larian Studios Games,"Role-Playing, Western-Style",M
Pac-Man Championship Edition DX,/game/xbox-360/pac-man-championship-edition-dx,Xbox 360,17-Nov-10,93,7.6,Namco Bandai Games,Namco Bandai Games,"Adventure, General, Action, General, General, Arcade",E
Street Fighter Alpha 3,/game/playstation/street-fighter-alpha-3,PlayStation,30-Apr-99,93,8.5,Capcom,Capcom,"Action, Fighting, 2D",T
Tony Hawk's Pro Skater 3,/game/xbox/tony-hawks-pro-skater-3,Xbox,4-Mar-02,93,7.6,Neversoft Entertainment,Activision,"Sports, Alternative, Skateboarding",T
Hades,/game/switch/hades,Switch,17-Sep-20,93,9.1,Supergiant Games,Supergiant Games,"Action Adventure, General, Linear",T
Half-Life: Alyx,/game/pc/half-life-alyx,PC,23-Mar-20,93,9.1,Valve Software,Valve Software,"Action, First-Person, Shooter, Arcade",NA
Divinity: Original Sin II,/game/pc/divinity-original-sin-ii,PC,14-Sep-17,93,8.8,Larian Studios Games,Larian Studios Games,"Action RPG, Role-Playing, Western-Style",NA
Unreal Tournament 2004,/game/pc/unreal-tournament-2004,PC,16-Mar-04,93,8.8,Epic Games,Atari,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
BioShock Infinite,/game/xbox-360/bioshock-infinite,Xbox 360,26-Mar-13,93,8.6,Irrational Games,2K Games,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M
Braid,/game/xbox-360/braid,Xbox 360,6-Aug-08,93,8.5,Number None Inc.,Number None Inc.,"Action, Platformer, Platformer, 2D, 2D",E10+
God of War II,/game/playstation-2/god-of-war-ii,PlayStation 2,13-Mar-07,93,8.9,SCE Santa Monica,SCEA,"Action Adventure, Fantasy",M
Super Mario 3D World,/game/wii-u/super-mario-3d-world,Wii U,22-Nov-13,93,8.9,Nintendo,Nintendo,"Platformer, 3D, Action, Platformer, 3D",E
Ori and the Will of the Wisps,/game/switch/ori-and-the-will-of-the-wisps,Switch,17-Sep-20,93,8.9,Moon Studios,Microsoft Game Studios,"Action, Platformer, 2D",E
Starcraft II: Wings of Liberty,/game/pc/starcraft-ii-wings-of-liberty,PC,27-Jul-10,93,8.3,Blizzard Entertainment,Blizzard Entertainment,"Strategy, Real-Time, Sci-Fi, Command",T
SSX,/game/playstation-2/ssx,PlayStation 2,30-Oct-00,93,8.2,EA Sports Big,EA Sports Big,"Sports, Alternative, Snowboarding",E
Street Fighter IV,/game/xbox-360/street-fighter-iv,Xbox 360,17-Feb-09,93,7.3,Capcom,Capcom,"Action, Fighting, Fighting, 3D, 2D, 3D",T
Minecraft,/game/pc/minecraft,PC,18-Nov-11,93,7.9,Mojang AB,Mojang AB,"Action Adventure, Adventure, 3D, Sandbox, First-Person, Fantasy, Fantasy",NA
Undertale,/game/switch/undertale,Switch,18-Sep-18,93,8,"tobyfox, 8-4",tobyfox,"Role-Playing, Japanese-Style",E10+
Persona 4 Golden,/game/playstation-vita/persona-4-golden,PlayStation Vita,20-Nov-12,93,8.6,Atlus,Atlus,"Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",M
Persona 5,/game/playstation-4/persona-5,PlayStation 4,4-Apr-17,93,8.7,Atlus,Atlus,"Role-Playing, Japanese-Style",M
Red Dead Redemption 2,/game/pc/red-dead-redemption-2,PC,5-Nov-19,93,5.5,Rockstar Games,Rockstar Games,"Action Adventure, Open-World",M
SSX 3,/game/playstation-2/ssx-3,PlayStation 2,20-Oct-03,93,8.8,EA Canada,EA Sports Big,"Sports, Alternative, Snowboarding",E
Tom Clancy's Splinter Cell,/game/xbox/tom-clancys-splinter-cell,Xbox,17-Nov-02,93,8.6,Ubisoft Montreal,Ubisoft,"Action Adventure, Modern",T
Grand Theft Auto III,/game/pc/grand-theft-auto-iii,PC,20-May-02,93,8.3,"DMA Design, Rockstar North",Rockstar Games,"Action Adventure, Modern, Modern, Open-World",M
Quake III Arena,/game/dreamcast/quake-iii-arena,Dreamcast,22-Oct-00,93,8.2,Raster,Sega,"Action, Shooter, First-Person, Sci-Fi",M
Homeworld,/game/pc/homeworld,PC,31-Aug-99,93,8.8,Relic,Sierra Entertainment,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command",E
Okami,/game/playstation-2/okami,PlayStation 2,19-Sep-06,93,9.1,Clover Studio,Capcom,"Action Adventure, Fantasy",T
The Elder Scrolls IV: Oblivion,/game/playstation-3/the-elder-scrolls-iv-oblivion,PlayStation 3,20-Mar-07,93,8.1,4J Studios,Bethesda Softworks,"Role-Playing, First-Person, First-Person, Western-Style",M
Fallout 3,/game/xbox-360/fallout-3,Xbox 360,28-Oct-08,93,8.5,Bethesda Game Studios,Bethesda Softworks,"Role-Playing, First-Person, First-Person, Western-Style",M
Gears of War 2,/game/xbox-360/gears-of-war-2,Xbox 360,7-Nov-08,93,7.8,Epic Games,Microsoft Game Studios,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",M
SoulCalibur II,/game/gamecube/soulcalibur-ii,GameCube,27-Aug-03,93,8.9,Namco,Namco,"Action, Fighting, 3D",T
World Soccer Winning Eleven 6 International,/game/playstation-2/world-soccer-winning-eleven-6-international,PlayStation 2,11-Mar-03,93,8.3,KCET,Konami,"Sports, Traditional, Soccer, Sim",E
NFL 2K3,/game/playstation-2/nfl-2k3,PlayStation 2,12-Aug-02,93,7.3,Visual Concepts,Sega,"Sports, Traditional, Football, Sim",E
Mass Effect 3,/game/xbox-360/mass-effect-3,Xbox 360,6-Mar-12,93,5.9,BioWare,Electronic Arts,"Role-Playing, Action RPG, Action RPG",M
Metal Gear Solid V: The Phantom Pain,/game/playstation-4/metal-gear-solid-v-the-phantom-pain,PlayStation 4,1-Sep-15,93,8.2,"Kojima Productions, Moby Dick Studio",Konami,"Modern, Action Adventure, Modern, Open-World",M
Skies of Arcadia,/game/dreamcast/skies-of-arcadia,Dreamcast,13-Nov-00,93,8.9,Overworks,Sega,"Role-Playing, Console-style RPG",T
The Legend of Zelda: Skyward Sword,/game/wii/the-legend-of-zelda-skyward-sword,Wii,20-Nov-11,93,8.1,Nintendo,Nintendo,"Action Adventure, Fantasy, General, Fantasy, Open-World",E10+
Mario Kart Super Circuit,/game/game-boy-advance/mario-kart-super-circuit,Game Boy Advance,26-Aug-01,93,7.9,Intelligent Systems,Nintendo,"Driving, Racing, Kart",E
